name,sex,country_cod),country,affiliate_name,age,height,weight
Chandler Smith,M,US,United States,CrossFit Noble Defender,27,68 in,193 lb
Alexandre Caron,M,CA,Canada,CrossFit Levis,24,71 in,200 lb
Elliot Simmonds,M,GB,United Kingdom,CrossFit Yas,26,185 cm,90 kg
Cédric Lapointe,M,CA,Canada,CrossFit 819,23,69 in,185 lb
Zack George,M,GB,United Kingdom,CrossFit BFG,30,72 in,102 kg
Logan Collins,M,US,United States,CrossFit Rejoice,29,67 in,182 lb
Ben Smith,M,US,United States,CrossFit Krypton,30,71 in,195 lb
Sean Sweeney,M,US,United States,CrossFit Powerstroke,28,69 in,192 lb
Willy Georges,M,FR,France,CrossFit Lutece,27,179 cm,86 kg
Connor Duddy,M,US,United States,Solidarity CrossFit,27,70 in,185 lb
Brent Fikowski,M,CA,Canada,Kelowna CrossFit,29,74 in,217 lb
Scott Panchik,M,US,United States,CrossFit Mentality,32,69 in,187 lb
Giorgos Karavis,M,GR,Greece,CrossFit Comradery,25,177 cm,90 kg
David Shorunke,M,GB,United Kingdom,CrossFit Kungsholmen,30,188 cm,97 kg
Spencer Panchik,M,US,United States,CrossFit Cliffside,24,68 in,180 lb
Cole Greashaber,M,US,United States,CrossFit Lee's Summit (LS),20,72 in,200 lb
Klaus Hebo Uggerhoj,M,DK,Denmark,CrossFit Nordvest,29,176 cm,189 lb
Sam Stewart,M,IE,Ireland,CrossFit Ireland,23,69 in,85 kg
Christian Lucero,M,US,United States,CrossFit Costa Mesa,27,69 in,191 lb
Marquan Jones,M,US,United States,CrossFit Roseland,30,71 in,200 lb
Pd Savage,M,IE,Ireland,CrossFit 8020,30,185 cm,98 kg
Dylan Pettit,M,US,United States,Reebok CrossFit One,26,71 in,218 lb
Niklas Hecht,M,US,United States,CrossFit Love,29,70 in,205 lb
Zachery Buntin,M,US,United States,CrossFit T-Town,26,72 in,205 lb
Luke Schafer,M,US,United States,CrossFit Kilo II,26,68 in,180 lb
Dimitris Fotiou,M,GR,Greece,Mad Hall CrossFit,29,168 cm,78 kg
Piotr Szczycinski,M,PL,Poland,CrossFit Wroclaw,27,182 cm,88 kg
Iakov filimonov,M,RU,Russian Federation,,32,171 cm,82 kg
Nycolas Joyal,M,CA,Canada,CrossFit Terrebonne L'usine,26,70 in,192 lb
name,sex,country_cod),country,affiliate_name,age,height,weight
Patrick Vellner,M,CA,Canada,CrossFit Nanaimo,30,71 in,195 lb
Mathew Fraser,M,US,United States,CrossFit Mayhem,30,67 in,195 lb
Lefteris Theofanidis,M,GR,Greece,,30,171 cm,81 kg
Björgvin Karl Guðmundsson,M,IS,Iceland,CrossFit Hengill,27,178 cm,185 lb
Jeffrey Adler,M,CA,Canada,CrossFit Wonderland,26,69 in,197 lb
Noah Ohlsen,M,US,United States,Peak 360 CrossFit,29,67 in,190 lb
Bayden Brown,M,AU,Australia,CrossFit Townsville,25,177 cm,90 kg
Jean-Simon Roy-Lemaire,M,CA,Canada,Tonic CrossFit,26,176 cm,195 lb
Tyler Christophel,M,US,United States,,30,70 in,190 lb
Roman Khrennikov,M,RU,Russian Federation,,25,182 cm,95 kg
Jonne Koski,M,FI,Finland,CrossFit Kreis 9,25,171 cm,187 lb
Samuel Cournoyer,M,CA,Canada,Deka CrossFit,24,180 cm,195 lb
Brandon Luckett,M,US,United States,CrossFit OKC,25,73 in,200 lb
Travis Mayer,M,US,United States,CrossFit Passion,29,71 in,198 lb
Tim Paulson,M,US,United States,CrossFit Pallas,30,73 in,215 lb
Samuel Kwant,M,US,United States,,24,71 in,200 lb
Scott Tetlow,M,US,United States,CrossFit Kilter,27,63 in,172 lb
Jacob Heppner,M,US,United States,Cobra Command CrossFit,30,68 in,192 lb
Cole Sager,M,US,United States,CrossFit Spokane Valley,29,70 in,202 lb
Richard Froning Jr.,M,US,United States,CrossFit Mayhem,32,69 in,198 lb
Rogelio Gamboa,M,US,United States,Elevate Crew CrossFit,33,68 in,200 lb
Chandler Smith,M,US,United States,CrossFit Noble Defender,27,68 in,193 lb
Alexandre Caron,M,CA,Canada,CrossFit Levis,24,71 in,200 lb
Elliot Simmonds,M,GB,United Kingdom,CrossFit Yas,26,185 cm,90 kg
Cédric Lapointe,M,CA,Canada,CrossFit 819,23,69 in,185 lb
Zack George,M,GB,United Kingdom,CrossFit BFG,30,72 in,102 kg
Logan Collins,M,US,United States,CrossFit Rejoice,29,67 in,182 lb
Ben Smith,M,US,United States,CrossFit Krypton,30,71 in,195 lb
Sean Sweeney,M,US,United States,CrossFit Powerstroke,28,69 in,192 lb
Willy Georges,M,FR,France,CrossFit Lutece,27,179 cm,86 kg
Connor Duddy,M,US,United States,Solidarity CrossFit,27,70 in,185 lb
Brent Fikowski,M,CA,Canada,Kelowna CrossFit,29,74 in,217 lb
Scott Panchik,M,US,United States,CrossFit Mentality,32,69 in,187 lb
Giorgos Karavis,M,GR,Greece,CrossFit Comradery,25,177 cm,90 kg
David Shorunke,M,GB,United Kingdom,CrossFit Kungsholmen,30,188 cm,97 kg
Spencer Panchik,M,US,United States,CrossFit Cliffside,24,68 in,180 lb
Cole Greashaber,M,US,United States,CrossFit Lee's Summit (LS),20,72 in,200 lb
Klaus Hebo Uggerhoj,M,DK,Denmark,CrossFit Nordvest,29,176 cm,189 lb
Sam Stewart,M,IE,Ireland,CrossFit Ireland,23,69 in,85 kg
Christian Lucero,M,US,United States,CrossFit Costa Mesa,27,69 in,191 lb
Marquan Jones,M,US,United States,CrossFit Roseland,30,71 in,200 lb
Pd Savage,M,IE,Ireland,CrossFit 8020,30,185 cm,98 kg
Dylan Pettit,M,US,United States,Reebok CrossFit One,26,71 in,218 lb
Niklas Hecht,M,US,United States,CrossFit Love,29,70 in,205 lb
Zachery Buntin,M,US,United States,CrossFit T-Town,26,72 in,205 lb
Luke Schafer,M,US,United States,CrossFit Kilo II,26,68 in,180 lb
Dimitris Fotiou,M,GR,Greece,Mad Hall CrossFit,29,168 cm,78 kg
Piotr Szczycinski,M,PL,Poland,CrossFit Wroclaw,27,182 cm,88 kg
Iakov filimonov,M,RU,Russian Federation,,32,171 cm,82 kg
Nycolas Joyal,M,CA,Canada,CrossFit Terrebonne L'usine,26,70 in,192 lb
Drew Wayman,M,US,United States,CrossFit SOTO,24,71 in,210 lb
Jake Berman,M,US,United States,CrossFit Perimeter,24,68 in,183 lb
Alex Kotoulas,M,GR,Greece,CrossFit Comradery,27,170 cm,78 kg
Will Moorad,M,US,United States,CrossFit Trivium,31,69 in,190 lb
Jason Smith,M,ZA,South Africa,CrossFit Sunninghill,36,185 cm,195 lb
Uldis Upenieks,M,LV,Latvia,CrossFit Riga,22,174 cm,84 kg
Tola Morakinyo,M,US,United States,CrossFit Invictus Back Bay,24,72 in,207 lb
Khan Porter,M,AU,Australia,CrossFit Play,30,182 cm,205 lb
Nick Mathew,M,US,United States,Timberwolf CrossFit,26,69 in,195 lb
Evan Morris,M,AU,Australia,CrossFit 505,27,,
André Houdet,M,DK,Denmark,CrossFit Butcher's Lab,26,182 cm,88 kg
Jason Carroll,M,US,United States,LumberYard CrossFit,31,70 in,185 lb
Luke Fiso,M,NZ,New Zealand,Thorndon CrossFit,30,176 cm,88 kg
Alec Smith,M,US,United States,CrossFit Solace,27,71 in,185 lb
Norman Woodring,M,US,United States,Not the Norm CrossFit,30,72 in,197 lb
Linus Bresander,M,SE,Sweden,CrossFit Borgen,29,183 cm,97 kg
Fabian Beneito,M,ES,Spain,CrossFit Alzira,24,178 cm,87 kg
Justin Medeiros,M,US,United States,CrossFit Fort Vancouver,21,69 in,190 lb
Dylan Martin,M,US,United States,CrossFit Cedar Rapids,28,69 in,190 lb
Saxon Panchik,M,US,United States,CrossFit Cliffside,24,69 in,185 lb
Lukas Esslinger,M,CH,Switzerland,CrossFit Kreis 9,27,181 cm,200 lb
Travis Williams,M,US,United States,,28,69 in,202 lb
Brandon Flores,M,US,United States,CrossFit Culmination,25,74 in,225 lb
Maximiliano Arigossi,M,AR,Argentina,CrossFit Tuluka Nuñez,27,171 cm,80 kg
Eric Carmody,M,US,United States,CrossFit Invictus,32,71 in,200 lb
Nicolay Billaudel,M,NO,Norway,CrossFit Gamlebyen,30,182 cm,92 kg
Adam Davidson,M,CA,Canada,CrossFit LoLo,28,,
Matt Poulin,M,US,United States,CrossFit Complete,24,70 in,195 lb
Chase Smith,M,US,United States,Sanctum CrossFit,31,69 in,195 lb
Jonathan Wall,M,US,United States,Role Model CrossFit,30,69 in,206 lb
Karar Margrander,M,DE,Germany,CrossFit Luparo,29,171 cm,89 kg
Jake Marconi,M,US,United States,Full Range CrossFit,23,67 in,185 lb
Josh Miller,M,US,United States,CrossFit Crash,31,69 in,190 lb
Jonathan Dunlop,M,AU,Australia,North Bound CrossFit,28,182 cm,132 kg
Jeff Patzer,M,US,United States,CrossFit Davis,32,66 in,175 lb
Kosta Ilic,M,AU,Australia,CrossFit Dignus,29,181 cm,190 lb
Joshua Wichtrup,M,DE,Germany,CrossFit Flensburg,28,183 cm,86 kg
Viktor Langsved,M,SE,Sweden,CrossFit Prestanda,28,183 cm,90 kg
Matt Hewett,M,US,United States,,32,68 in,185 lb
Alexandre Pinsolle,M,FR,France,CrossFit Happy Hearts,26,188 cm,95 kg
Matt Mcleod,M,AU,Australia,CrossFit Crossaxed,27,168 cm,82 kg
Haraldur Holgersson,M,IS,Iceland,CrossFit XY,21,178 cm,173 lb
Brandon Swan,M,AU,Australia,CrossFit Torian,29,175 cm,195 lb
Michael McKenna,M,US,United States,CrossFit Majestic,32,69 in,195 lb
Jordan Cook,M,US,United States,CrossFit Memorial Houston,28,69 in,193 lb
Antoine Tami,M,FR,France,CrossFit VNM Rungis,26,174 cm,82 kg
Griffin Roelle,M,US,United States,CrossFit Dwala,28,69 in,205 lb
Matt Morton,M,US,United States,CrossFit Unorthodox,31,73 in,212 lb
Cam Crockett,M,US,United States,CrossFit Cliffside,22,69 in,185 lb
